Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.107.128-192.168.107.129-80-50791-6,192.168.107.129,50791,192.168.107.128,80,6,04/05/2020 12:50:23 PM,3,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,4.0E7,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,40,0.0,666666.6666666666,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-50836-6,192.168.107.129,50836,192.168.107.128,80,6,04/05/2020 12:50:23 PM,3,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,4.0E7,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,40,0.0,666666.6666666666,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-50124-6,192.168.107.129,50124,192.168.107.128,80,6,04/05/2020 12:50:23 PM,1,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,1.2E8,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,40,0.0,2000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-50377-6,192.168.107.129,50377,192.168.107.128,80,6,04/05/2020 12:50:23 PM,2,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,6.0E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,40,0.0,1000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-51384-6,192.168.107.129,51384,192.168.107.128,80,6,04/05/2020 12:50:23 PM,1,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,1.2E8,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,40,0.0,2000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-51131-6,192.168.107.129,51131,192.168.107.128,80,6,04/05/2020 12:50:23 PM,2,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,6.0E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,40,0.0,1000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-51429-6,192.168.107.129,51429,192.168.107.128,80,6,04/05/2020 12:50:23 PM,2,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,6.0E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,40,0.0,1000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-50440-6,192.168.107.129,50440,192.168.107.128,80,6,04/05/2020 12:50:23 PM,1,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,1.2E8,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,40,0.0,2000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-51941-6,192.168.107.129,51941,192.168.107.128,80,6,04/05/2020 12:50:23 PM,2,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,6.0E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,40,0.0,1000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.107.128-192.168.107.129-80-50693-6,192.168.107.129,50693,192.168.107.128,80,6,04/05/2020 12:50:23 PM,2,0,2,0.0,120.0,0,0,0,0,120.0,0.0,60.0,84.8528137423857,6.0E7,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,40,0.0,1000000.0,0.0,120.0,80.0,69.2820323027551,4800.0,0,1,0,0,0,0,0,0,0.0,120.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
